Category,Headline,SubHeading,Link,isResult,isMaybe
OL PARIS 2024 ,Se tabellen: Her er de danske OL-medaljer ,Få overblikket over de danske medaljer til Tokyo 2020 ,https://www.dr.dk/sporten/ol/se-tabellen-her-er-de-danske-ol-medaljer,TRUE,
TOKYO 2020 ,Nu starter PL: Her er de største danske medaljehåb ,"25 danskere skal i aktion ved PL i Tokyo, der starter med en åbningsceremoni i dag ",https://www.dr.dk/sporten/pl/nu-starter-pl-her-er-de-stoerste-danske-medaljehaab,FALSE,
DANSKERNE ,"Norman, Aastrand og Blume nærmer sig toppen: Her er danskerne med flest OL-medaljer ",Lasse Norman hentede onsdag sin fjerde OL-medalje og er nu på en delt tredjeplads ,https://www.dr.dk/sporten/ol/danskerne/norman-aastrand-og-blume-naermer-sig-toppen-her-er-danskerne-med-flest-ol,TRUE,
DANSKERNE ,Dobbelt op på bronze til Aastrand: 'Nu kan jeg få lov til at puste ud' ,Emma Aastrand Jørgensen roede sig til sin anden OL-medalje i Tokyo. Denne gang på 500 meter ,https://www.dr.dk/sporten/ol/danskerne/dobbelt-op-paa-bronze-til-aastrand-nu-kan-jeg-faa-lov-til-puste-ud,TRUE,
DANSKERNE ,Enestående Emma Aastrand Jørgensen vinder sin anden OL-medalje: Se danskerens vilde slutspurt her ,Emma Aastrand Jørgensen vandt her til morgen sin anden bronzemedalje ved dette års OL ,https://www.dr.dk/sporten/ol/danskerne/enestaaende-emma-aastrand-joergensen-vinder-sin-anden-ol-medalje-se-danskerens,TRUE,
DANSKERNE ,Lynhurtige stafethold slår danske rekorder og 'viser vi hører til ved OL' ,Begge danske 4 x 100 meter-stafethold røg ud i nat i deres indledende heats ved OL ,https://www.dr.dk/sporten/ol/danskerne/lynhurtige-stafethold-slaar-danske-rekorder-og-viser-vi-hoerer-til-ved-ol,TRUE,
DANSKERNE ,46-årige Rune rullede ud som OL's ældste: 'Jeg har vist flaget for den ældre generation' ,Skateboarderen Rune Glifberg blev den første mandlige parkskater i OL's historie ,https://www.dr.dk/sporten/ol/danskerne/46-aarige-rune-rullede-ud-som-ols-aeldste-jeg-har-vist-flaget-den-aeldre,FALSE,
DANSKERNE ,Se finalen: Italien slår banelandsholdet på målstregen og sætter verdensrekord ,"Det danske banelandshold kørte som død og helvede i finalen, men lige lidt hjalp det ",https://www.dr.dk/sporten/ol/danskerne/se-finalen-italien-slaar-banelandsholdet-paa-maalstregen-og-saetter,TRUE,
OL PARIS 2024 ,Vild verdensklasse: Her får du olympisk 'rekord-service' fra en super søndag i Tokyo ,"OL-atleterne forkælede os med en række stærke præstationer søndag. Her er et udsnit af de rekorder, der blev sat på den niende olympiske dag i Tokyo. ",https://www.dr.dk/sporten/ol/vild-verdensklasse-her-faar-du-olympisk-rekord-service-fra-en-super-soendag-i-tokyo,TRUE,
OL PARIS 2024 ,Dufour tror på dansk dressur-succes i Tokyo: 'Vi er her for at få noget med hjem' ,"Dressurrytteren Cathrine Dufour tror på, at både hende selv og det danske hold kan gøre det godt ",https://www.dr.dk/sporten/ol/dufour-tror-paa-dansk-dressur-succes-i-tokyo-vi-er-her-faa-noget-med-hjem,FALSE,
OL PARIS 2024 ,"Banelandsholdet er taget til Tokyo med tårnhøj selvtillid: 'Jeg tror på, vi slår verdensrekorden' ",For første gang kommer det danske landshold i 4000 meter holdforfølgelse til de olympiske lege som storfavorit til at tage guldet ,https://www.dr.dk/sporten/ol/banelandsholdet-er-taget-til-tokyo-med-taarnhoej-selvtillid-jeg-tror-paa-vi-slaar,FALSE,
OL PARIS 2024 ,"Dansk løbestjerne rejste til Tokyo uden at vide, om hun kunne løbe ",Anna Emilie Møller har kæmpet med skader op til OL ,https://www.dr.dk/sporten/ol/dansk-loebestjerne-rejste-til-tokyo-uden-vide-om-hun-kunne-loebe,FALSE,
OL PARIS 2024 ,10 OL-øjeblikke du ikke må misse ,I dag er der åbningsceremoni ved OL i Tokyo ,https://www.dr.dk/sporten/ol/10-ol-oejeblikke-du-ikke-maa-misse,FALSE,
SPORT ,"Det sitrer i Joachim, når han tænker på sin OL-medalje, men han higer også efter succes uden for sin sport ","Roer Joachim Sutton vandt bronze til OL, og nu drømmer han om at opnå succes i mere end sportens verden ",https://www.dr.dk/sporten/oevrig/det-sitrer-i-joachim-naar-han-taenker-paa-sin-ol-medalje-men-han-higer-ogsaa-efter,True,x
TOKYO 2020 - HÅNDBOLD ,"Håndboldherrerne taber tæt, intens og nervepirrende OL-finale til Frankrig ",De forsvarende olympiske mestre fra Danmark rejser hjem fra Tokyo med en sølvmedalje efter et finalenederlag på 23-25 mod Frankrig ,https://www.dr.dk/sporten/ol/haandbold/haandboldherrerne-taber-taet-intens-og-nervepirrende-ol-finale-til-frankrig,TRUE,
CYKLING ,Så er ruten på plads: Her er de tre danske Tour de France-etaper ,"Tour de France-feltet skal rundt i Københavns gader, over Storebæltsbroen og forbi Jellingstenen ",https://www.dr.dk/sporten/cykling/saa-er-ruten-paa-plads-her-er-de-tre-danske-tour-de-france-etaper,FALSE,
TOUR DE FRANCE ,Tour de France-ruten går over Storebæltsbroen og vilde bjerge: 'Reel mulighed for en dansker i gult' ,Næste års Tour de France-rute blev i dag offentliggjort i Paris ,https://www.dr.dk/sporten/cykling/tourdefrance/tour-de-france-ruten-gaar-over-storebaeltsbroen-og-vilde-bjerge-reel,FALSE,
TOUR DE FRANCE ,BILLEDER Genoplev dagens anderledes Tour de France-etape ,"Ikke alt er som det plejer i årets Tour de France, men cykelløb bliver der kørt ",https://www.dr.dk/sporten/cykling/tourdefrance/billeder-genoplev-dagens-anderledes-tour-de-france-etape,FALSE,
TOUR DE FRANCE ,KILOMETER FOR KILOMETER Tadej Pogacar vinder Tour de France 2020 ,Følg hele Tour de France direkte på skrift og i radioen lige her ,https://www.dr.dk/sporten/cykling/tourdefrance/kilometer-kilometer-tadej-pogacar-vinder-tour-de-france-2020,TRUE,
TOUR DE FRANCE ,"Klar, parat, Tour-start: Allerede inden løbet er begyndt, har de danske ryttere sat rekord ",I morgen begynder Tour de France. Her klæder DR Sportens Tour de France-ekspert Brian Nygaard dig på til årets løb ,https://www.dr.dk/sporten/cykling/tourdefrance/klar-parat-tour-start-allerede-inden-loebet-er-begyndt-har-de-danske,FALSE,
TOUR DE FRANCE ,'Det var dansk Tour de France-historie': Jonas' vinger rokkede urokkelige Pogacar ,Jonas Vingegaard (Jumbo-Visma) kørte fra løbets gule trøje op ad Mont Ventoux på 11. etape i årets Tour de France ,https://www.dr.dk/sporten/cykling/tourdefrance/det-var-dansk-tour-de-france-historie-jonas-vinger-rokkede-urokkelige,False,x
TOUR DE FRANCE ,"BILLEDER Mark Cavendish' 34 Tour de France-etapesejre, der sikrede ham legendestatus ","Vinder Mark Cavendish 21. etape i Paris, bliver han den rytter, der har vundet flest etapesejre i Tour-historien ",https://www.dr.dk/sporten/cykling/tourdefrance/billeder-mark-cavendish-34-tour-de-france-etapesejre-der-sikrede-ham,True,x
